Song Name,Movie,Category,Song Link
Edho Edho,Ishq,Surprise,https://www.youtube.com/watch?v=BGD-oHfjRXw
Raju Vachinado,Dhammu,Surprise,https://www.youtube.com/watch?v=w1a_wfnQ7e8
 Kanulara Chuddamu  ,Simha,Surprise,https://www.youtube.com/watch?v=q6FfuovfGzg
Blockbuster,Sarrainodu,Surprise,https://www.youtube.com/watch?v=FmjJ-e5uGuY
Pakka Local,Janatha Garage,Surprise,https://www.youtube.com/watch?v=b-uQtN5lbGA
Super Machi,S/o Satyamurthy,Surprise,https://www.youtube.com/watch?v=3-J0nMYAGlA
Dillaka Dillaka,Racha,Surprise,https://www.youtube.com/watch?v=bwYr5fFTTVc
Kevvu Keka,Gabbar Singh,Surprise,https://www.youtube.com/watch?v=2vINcOV1olQ
Ye Mantramo,Andhala Rakshashi,Surprise,https://www.youtube.com/watch?v=WE_k7v8QTXo
Inkem Inkem,Geetha Govindam,Surprise,https://www.youtube.com/watch?v=LPeZOE8ZIHI
Weightless,Marconi Union,Neutral,https://www.youtube.com/watch?v=UfcAVejslrU
Sunflower,Post Malone & Swae Lee,Neutral,https://www.youtube.com/watch?v=3E78T8h5EhA
Better Together,Jack Johnson,Neutral,https://www.youtube.com/watch?v=seZMOTGCDag
Thinking Out Loud,Ed Sheeran,Neutral,https://www.youtube.com/watch?v=lp-EO5I60KA
Dreams,Fleetwood Mac,Neutral,https://www.youtube.com/watch?v=Y3ywicffOj4
Yeyo,Darling,Neutral,https://www.youtube.com/watch?v=o0AKOtRjRKA
Tholakari Chinukai,Prema Kavali,Neutral,https://www.youtube.com/watch?v=eqkPWDbYUGw
O My Brotheru,Aarya,Neutral,https://www.youtube.com/watch?v=_hG0WpxsGMc
Thakadimithom,Aarya,Neutral,https://www.youtube.com/watch?v=EcfIEmMXino
Mr.Perfect,Arya-2,Neutral,https://www.youtube.com/watch?v=TTGQX0CXlL0
Uppenantha,Arya-2,Neutral,https://www.youtube.com/watch?v=TIOZUdc0aL8
Almost Atom Bomb,Solo,Neutral,https://www.youtube.com/watch?v=Jcyw37gBdWE
Sunday Monday,Khaleja,Neutral,https://www.youtube.com/watch?v=rdUvpgIm4BM
Hua Main,Animal,Neutral,https://www.youtube.com/watch?v=ttvclMhcHkU
Haiwaan,Animal,Neutral,https://www.youtube.com/watch?v=RIz96zpbeBI
Veluge Varsham,Nenithe,Neutral,https://www.youtube.com/watch?v=WfyM4wVGPVg
Puduthune Uyaalaa,Nenithe,Neutral,https://www.youtube.com/watch?v=7LmJR8Jqat8
Ossa Re,Happy,Neutral,https://www.youtube.com/watch?v=rIjqvxRQx7Q
Dooranga Vuntavendhuku,Vikramarkudu,Neutral,https://www.youtube.com/watch?v=MR_cQb3iENU
Collage Papala Bassu,Vikramarkudu,Neutral,https://www.youtube.com/watch?v=8BNLsznoeBA
Just Do It,Bhadra,Neutral,https://www.youtube.com/watch?v=NEwrUcftXoI
Koyilamma Paaduthundi,Vamsi,Neutral,https://www.youtube.com/watch?v=kT8qBoGOX64
Abc Daatindho Ledo,Vamsi,Neutral,https://www.youtube.com/watch?v=5uSoO4O_aJ8
Sa Ri Ga Ma Pa Da ,Vamsi,Neutral,https://www.youtube.com/watch?v=D16YUxv-nJ4
Oh Soniya Sophiya,Vamsi,Neutral,https://www.youtube.com/watch?v=lI3E17I0wCY
Tere Beautiful Anke,Loukhyam,Neutral,https://www.youtube.com/watch?v=zPWwpxRp-P4
Ivala ,Chirutha,Neutral,https://www.youtube.com/watch?v=FMp2_YDCVR4
Endhuko Pichi Pichi,Chirutha,Neutral,https://www.youtube.com/watch?v=QlEvCxEnDTY
One More Time,Temper,Neutral,https://www.youtube.com/watch?v=QYOCqHcj2xc
Choolenge Aasma,Temper,Neutral,https://www.youtube.com/watch?v=fMnDThdSHW0
Raaye Raaye,Maryada Ramanna,Neutral,https://www.youtube.com/watch?v=ic_lI_QLgzc
kya be jaare ,Srimannarayana,Neutral,https://www.youtube.com/watch?v=VIR2mZshF2A
Google,Rebel,Neutral,https://www.youtube.com/watch?v=nMcIQo5aTHY
Excellent Ne Figure,Rebel,Neutral,https://www.youtube.com/watch?v=l1FbNaz-rnI
Nene Indrudai,Yamudu,Neutral,https://www.youtube.com/watch?v=7VfdiUCRV7A
Teliyadhule,Singam,Neutral,https://www.youtube.com/watch?v=cNRuN-EDF9A
Sone Moriya,raju Gari gadhi-1,Neutral,https://www.youtube.com/watch?v=50Su7HE0w8s
Devuda Devudaa,Chandramukhi,Neutral,https://www.youtube.com/watch?v=AMXrRsotjPE
Mellaga Karagani,Varsham,Neutral,https://www.youtube.com/watch?v=TBX-PJyifts
Chal Chal Re,Happy,Neutral,https://www.youtube.com/watch?v=GpXxdT2JbXY
Pink Lips,Loukyam,Neutral,https://www.youtube.com/watch?v=O28iX5CbKYE
Next Enti,Nenu Local,Neutral,https://www.youtube.com/watch?v=1TRRvECP2l0
